course_code,course_name
EGC2134,미래글로벌지도자로서의말의힘
EGC2135,"언어학교, 한국어실험실"
EGC2136,인도문화탐방
EGC2137,지배와폭력의역사
EGC2138,ChatGPT를통해영어로들려주는나의이야기
EGC2139,유네스코 유산으로 떠나는 불교문화 여행
EGC3028,인터넷정책과법
EGC3038,종교와법
EGC3041,영문학속의AI
EGC3045,광고홍보의이해
EGC3046,오페라속범죄학
EGC3050,글로벌시대의대중문화론
EGC3051,대학생을위한실용금융
EGC3054,자본주의의역사와전망
EGC3057,연애학개론
EGC3059,기업운영의기초:수요와공급의균형
EGC3061,소비인사이트
EGC3063,"나의 생각 : 나와 타인, 사회에 대한 인지"
EGC3064,자녀와 소통하는 훈련중심 예비부모교육
EGC3070,여행지리와도시산책
EGC3071,"한일관계의과거,현재그리고미래"
EGC3074,일본서브컬처의이해
EGC3076,"소통,미디어,윤리"
EGC3077,다문화사회의삶
EGC3078,"사랑,우정,관용"
EGC3079,민주주의와시장경제
EGC3080,미래인간과위험사회
EGC3081,시장경제와위험사회
EGC3082,과학기술과위험사회
EGC3083,미래환경과위험사회
EGC3084,아시아의사회와문화
EGC3085,아메리카의사회와문화
EGC3086,유럽의사회와문화
EGC3087,아프리카의사회와문화
EGC3088,MZ에게 북한은 무엇인가?
EGC4023,인간과우주
EGC4027,숲에서찾는바이오나노재료의이해
EGC4028,노벨상으로보는생명이야기
EGC4029,알기쉬운반도체
EGC4030,성의과학
EGC4034,4차 산업혁명과 5G 무선통신
EGC4035,사람을 위한 미생물에 의한 미생물의 환경공정
EGC4039,공학윤리
EGC4040,인공지능프로그래밍기초와실습
EGC4042,태양계와외계행성
EGC5003,4차 산업혁명과 드론 디자인
EGC5013,마케팅 에스노그라피와 빅데이터 기반 디자인씽킹
EGC5015,인문사회계열를 위한 Python과 AI 기초
EGC5018,색채와 과학
EGC5021,레트로 동아시아의 건축공간과 신화
EGC5024,미래기술문명사회에서 호모루덴스들의 놀이여행
EGC5025,말은 마음이 지은 집
EGC5027,콘텐츠 기획을 위한 스토리텔링
EGC5030,융합콘텐츠산업과 캐릭터
EGC5033,데이터프로그래밍기초와실습
EGC5035,테마로읽는몸과세계
EGC5037,AI시대의인간관계와감정탐구
EGC5038,"매체를통한소통,사고를디자인하다"
EGC5039,행복인터뷰와자기서사의테크네
EGC5041,AI·사랑·혐오
EGC5042,디지털붓다와의대화
EGC5043,"디지털전환시대,삶의변화와불교휴머니티"
EGC5045,소셜이노베이션을위한질적데이터분석실습(캡스톤디자인)
EGC5046,삼국유사와스토리텔링
EGC5047,공존과 문화다양성
EGC5048,중독의시대:독(毒)이야기
EGC5049,"AI시대,호모테크놀로지쿠스의미래담론과행복배틀"
EGC5050,거대한욕망과두려움의그림자
EGC5051,디지털다문화사회와AI
EGC5052,로컬크리에이터
EGC5054,이방인・신・괴물:나와타자의이해
EGC5055,인간의언어vs인공지능의언어
EGC5056,약과건강
EGC5057,"개발도상국,ODA,빈곤"
EGC7006,골프
EGC7009,댄스스포츠
EGC7012,배드민턴
EGC7014,농구
EGC7015,호신술
EGC7017,태권도
EGC7026,기술창조와특허
EGC7067,음악즐기기
EGC7071,부조리문학
EGC7086,연기와창의적사고
EGC7088,"작곡실습,소리를통한가능성"
EGC7096,파이썬프로그래밍기초
EGC7098,실전축구초급
EGC7099,실전농구초급
EGC7100,실전야구초급
EGC7101,요가&필라테스
EGC7102,스포츠산업의 변화와 이노베이션
